s0,s1,s2,s3,s4,s5,s6,s7,action
0.12666666666666668,0.16333333333333333,1.0,0.6366666666666667,0.46,0.5866666666666667,1.0,0.23333333333333334,0
0.13,0.16666666666666666,1.0,0.6366666666666667,0.46,0.58,1.0,0.24333333333333335,0
0.13,0.16666666666666666,1.0,0.6366666666666667,0.46,0.5766666666666667,1.0,0.25666666666666665,0
0.13333333333333333,0.16666666666666666,1.0,0.6433333333333333,0.46,0.5766666666666667,1.0,0.27,0
0.13666666666666666,0.17,1.0,0.6433333333333333,0.45666666666666667,0.5733333333333334,1.0,0.2833333333333333,0
0.14,0.17,1.0,0.6433333333333333,0.45666666666666667,0.5666666666666667,1.0,0.30333333333333334,0
0.14,0.17,1.0,0.6433333333333333,0.45666666666666667,0.5666666666666667,1.0,0.33,0
0.14333333333333334,0.17666666666666667,1.0,0.6466666666666666,0.45666666666666667,0.5633333333333334,1.0,1.0,0
0.14666666666666667,0.17666666666666667,1.0,0.6466666666666666,0.4533333333333333,0.5566666666666666,1.0,1.0,0
0.15,0.18,1.0,0.6466666666666666,0.4533333333333333,0.5566666666666666,1.0,1.0,0
0.15333333333333332,0.18,1.0,0.6466666666666666,0.4533333333333333,0.5533333333333333,1.0,1.0,0
0.15666666666666668,0.18666666666666668,1.0,0.6466666666666666,0.45,0.5533333333333333,1.0,1.0,0
0.16,0.18666666666666668,1.0,0.6533333333333333,0.45,0.55,1.0,1.0,0
0.16333333333333333,0.18666666666666668,1.0,0.6533333333333333,0.45,0.55,1.0,1.0,0
0.16666666666666666,0.19,1.0,0.6533333333333333,0.45,0.5433333333333333,1.0,1.0,0
0.17,0.19,1.0,0.6533333333333333,0.44666666666666666,0.54,1.0,1.0,0
0.17333333333333334,0.19333333333333333,1.0,0.6533333333333333,0.44666666666666666,0.54,1.0,1.0,0
0.17666666666666667,0.19333333333333333,1.0,0.6533333333333333,0.44666666666666666,0.5333333333333333,1.0,1.0,0
0.18,0.2,1.0,0.6533333333333333,0.44333333333333336,0.5333333333333333,1.0,1.0,0
0.18333333333333332,0.2,1.0,0.6533333333333333,0.44333333333333336,0.53,1.0,1.0,0
0.18666666666666668,0.20333333333333334,1.0,0.6533333333333333,0.44333333333333336,0.53,1.0,1.0,0
0.19,0.20333333333333334,1.0,0.6533333333333333,0.44333333333333336,0.5233333333333333,1.0,1.0,0
0.19333333333333333,0.21,1.0,0.6533333333333333,0.44,0.5233333333333333,1.0,1.0,0
0.19666666666666666,0.21,1.0,0.6533333333333333,0.44,0.5233333333333333,1.0,1.0,0
0.2,0.21,1.0,0.6533333333333333,0.44,0.52,1.0,1.0,0
0.20333333333333334,0.21333333333333335,1.0,0.6533333333333333,0.44,0.52,1.0,1.0,0
0.20666666666666667,0.21333333333333335,1.0,0.6533333333333333,0.43666666666666665,0.5166666666666667,1.0,1.0,0
0.21,0.22,1.0,0.6533333333333333,0.43666666666666665,0.5166666666666667,1.0,1.0,0
0.21333333333333335,0.22,1.0,0.6533333333333333,0.43666666666666665,0.51,1.0,1.0,0
0.21666666666666667,0.22,1.0,0.6533333333333333,0.43666666666666665,0.51,1.0,1.0,0
0.21666666666666667,0.22333333333333333,1.0,0.6533333333333333,0.43333333333333335,0.51,1.0,1.0,0
0.22,0.22333333333333333,1.0,0.6533333333333333,0.43333333333333335,0.51,1.0,1.0,0
0.22333333333333333,0.22333333333333333,1.0,0.6533333333333333,0.43333333333333335,0.5066666666666667,1.0,1.0,0
0.22333333333333333,0.22333333333333333,1.0,0.6533333333333333,0.43333333333333335,0.5066666666666667,1.0,1.0,0
0.22666666666666666,0.22666666666666666,1.0,0.6533333333333333,0.43333333333333335,0.5066666666666667,1.0,1.0,0
0.22666666666666666,0.22666666666666666,1.0,0.6533333333333333,0.43333333333333335,0.5066666666666667,1.0,1.0,0
